StepId,Workstream,Description,CorpStartDate,CorpEndDate,CorpStatus,CorpCompletedDate,FedStartDate,FedEndDate,FedStatus,SetupValidation,EngineeringDependent,WWIC_POC,Fed_POC,EngineeringDRI,EngineeringLead,ADOLink,ReferenceNotes
"1.A","System Rollover","Create FY27 ""bucket"" on backend of Mint, to allow for FY27 ConfigHub work to start","2026-03-24","2026-03-30","Completed","2026-03-27","","","Completed","Y- WWIC","Y - Orchestration","Jim R","Amanda/ShreyasP","Amanda/Kanika","Amit Tiwari","FYRO Corp Orchestration",""
"1.B","System Rollover","Rollover FY26 Connections, Activities, Processes, & Mint FY26 Run Template to FY27","2026-03-24","2026-04-07","Completed","2026-03-27","","","Completed","Y- WWIC","Y - Orchestration","Jim R","Amanda/ShreyasP","Amanda/Kanika","Amit Tiwari","FYRO Fed Orchestration",""
"1.C","System Rollover","Rollover Other Run Templates Required by Business (Business team to specify)","2026-03-24","2026-04-13","In Progress","","","","In Progress","Y- WWIC","","Jim R","","","","",""
"1.C.1","System Rollover","Mint Studio Adjustment Domain Pull [Corp]","2026-03-31","2026-03-31","Completed","2026-03-31","","","NA","Y- WWIC","Y - Orchestration","Jim R","","Amanda/Kanika","Amit Tiwari","",""
"1.C.2","System Rollover","One Time Datapulls or Processing [Corp]","2026-03-31","2026-03-31","Completed","2026-03-31","","","NA","Y- WWIC","Y - Orchestration","Jim R","","Amanda/Kanika","Amit Tiwari","",""
"1.D","System Rollover","Deploy necessary code to enable new Fiscal Year in MintOrch dropdown","2026-03-24","","Completed","2026-03-25","","","Completed","Y- WWIC","Y - Orchestration","Jim R","Amanda/ShreyasP","Amanda/Kanika","Amit Tiwari","",""
"1.E","System Rollover","Create new fiscal year specific container in datalake (ex : MintFY27)","2026-03-24","2026-04-13","Completed","2026-03-19","","","Completed","Y- WWIC","Y - Orchestration","Jim R","Amanda/ShreyasP","Amanda/Kanika","Amit Tiwari","",""
"1.F","System Rollover","Rollover all perspectives and datapulls/entities from FY26 to FY27 (dependecy on Orchestration activity etc rollover)","2026-04-01","2026-04-14","Completed","2026-04-01","","","Completed","Y- WWIC","Y - Ingestion","Jim R","","Anurag Gupta","Anurag Gupta","https://microsoft.visualstudio.com/OSGS/_workitems/edit/57003488",""
"1.G","System Rollover","Deploy necessary code to enable new Fiscal Year in SystemConfigHub dropdown","2026-04-01","2026-04-07","Completed","2026-04-06","","","Completed","Y- WWIC","Y - Ingestion","Jim R","","Anurag Gupta","Anurag Gupta","",""
"1.H","System Rollover","Confirm entities have fiscal year field updated to FY27 (all teams)","2026-04-07","2026-04-14","In Progress","","","","In Progress","Y- WWIC","","Jim R","","","","",""
"1.I","System Rollover","Missing entities identified and remediated (all teams)","2026-04-15","2026-06-10","Not Started","","","","Not Started","Y- WWIC","","Jim R","","","","",""
"1.J","System Rollover","Set FY27 IsPlanning flag to ""Yes"" (Done as part of initial Orch rollover)","2026-04-15","2026-04-16","Completed","2026-03-27","","","Completed","Y- WWIC","Y - Orchestration","Jim R","Amanda/ShreyasP","Amanda/Kanika","Amit Tiwari","",""
"1.K","System Rollover","Set up FY27 alt activities/processes","2026-04-15","2026-04-16","Not Started","","","","Not Started","Y- WWIC","Y - Ingestion","Jim R","","Anurag Gupta","Anurag Gupta","",""
